host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
101domain.com;104.23.139.9;OK;2;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.04;12-07-2023 12:24:39
20minutos.es;18.154.22.3;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28004;Europe/Madrid;3.05;12-07-2023 12:24:40
2checkout.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:40
4shared.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:41
500px.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:41
abacus.coop;104.16.63.20;OK;1;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.02;12-07-2023 12:24:41
abanca.com;213.170.41.173;OK;3;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16203;NCG Banco;28004;Europe/Madrid;15.8;12-07-2023 12:24:42
abc.es;96.16.88.182;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS20940;Akamai International B.V.;28047;Europe/Madrid;2.66;12-07-2023 12:24:42
abv.bg;194.153.145.104;OK;3;Sofia;Sofia-Capital;BG;40.4133,-3.6939;42.6975,23.3241;AS13147;Net Info JSCo;1000;Europe/Sofia;52.9;12-07-2023 12:24:43
academia.edu;54.192.95.5;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28004;Europe/Madrid;3.72;12-07-2023 12:24:44
accenture.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:44
accounts.google.com;142.250.200.141;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS15169;Google LLC;28004;Europe/Madrid;3.19;12-07-2023 12:24:44
accuweather.com;23.36.122.49;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS16625;Akamai Technologies, Inc.;28047;Europe/Madrid;2.70;12-07-2023 12:24:45
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:45
adoptauntio.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:45
agame.com;104.21.78.214;OK;1;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.23;12-07-2023 12:24:46
agenciatributaria.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0,0.0;N/A;N/A;N/A;N/A;0.0;12-07-2023 12:24:46
airbnb.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:46
akamai.com;23.220.157.41;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS16625;Akamai Technologies, Inc.;28047;Europe/Madrid;3.33;12-07-2023 12:24:46
akf.de;92.204.236.87;OK;1;Strasbourg;Grand Est;FR;40.4133,-3.6939;48.5839,7.7455;AS8972;Host Europe GmbH;67004 CEDEX;Europe/Paris;32.2;12-07-2023 12:24:47
aliexpress.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:48
amazon.com;52.94.236.248;OK;1;Ashburn;Virginia;US;40.4133,-3.6939;39.0437,-77.4875;AS16509;Amazon.com, Inc.;20147;America/New_York;84.0;12-07-2023 12:24:48
amazon.es;54.239.33.90;OK;1;Dublin;Leinster;IE;40.4133,-3.6939;53.3331,-6.2489;AS16509;Amazon.com, Inc.;D02;Europe/Dublin;37.1;12-07-2023 12:24:49
amena.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:49
amp.dev;75.2.60.5;OK;2;Seattle;Washington;US;40.4133,-3.6939;47.5413,-122.3129;AS16509;Amazon.com, Inc.;98108;America/Los_Angeles;6.15;12-07-2023 12:24:49
analytics.google.com;142.250.200.142;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS15169;Google LLC;28004;Europe/Madrid;3.58;12-07-2023 12:24:50
android.com;142.250.200.68;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS15169;Google LLC;28004;Europe/Madrid;2.82;12-07-2023 12:24:50
antena3.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:50
anuncios.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:50
anydesk.com;108.157.109.87;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28004;Europe/Madrid;3.23;12-07-2023 12:24:51
aparat.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:51
appcenter.ms;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:51
apple.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:51
applovin.com;141.193.213.20;OK;3;Austin;Texas;US;40.4133,-3.6939;30.2672,-97.7431;AS209242;Cloudflare London, LLC;78701;America/Chicago;3.03;12-07-2023 12:24:51
appsflyer.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:51
arabbank.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:52
aresbank.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:52
arsys.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:52
arsys.es;217.76.128.28;OK;2;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS8560;IONOS SE;28004;Europe/Madrid;3.79;12-07-2023 12:24:53
arvixe.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:53
as.com;2.16.54.163;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS20940;Akamai International B.V.;28047;Europe/Madrid;2.79;12-07-2023 12:24:53
ashleymadison.com;104.16.119.62;OK;1;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.80;12-07-2023 12:24:54
asmallworld.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:54
asos.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:54
atrapalo.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:54
n.sni.global.fastly.net;151.101.133.91;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS54113;Fastly, Inc.;28004;Europe/Madrid;4.78;12-07-2023 12:24:55
atresplayer.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:55
authorize.net;162.159.153.2;OK;1;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.71;12-07-2023 12:24:55
avast.com;23.39.78.61;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS16625;Akamai Technologies, Inc.;28047;Europe/Madrid;2.65;12-07-2023 12:24:56
avg.com;69.94.64.29;OK;3;Prague;Prague;CZ;40.4133,-3.6939;50.0880,14.4208;AS198605;AVAST Software s.r.o.;110 00;Europe/Prague;50.6;12-07-2023 12:24:57
dr49lng3n1n2s.cloudfront.net;18.67.238.68;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28004;Europe/Madrid;20.6;12-07-2023 12:24:57
badoo.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:57
baidu.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:58
bancofar.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:58
bancopichincha.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:58
bancopopular.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0,0.0;N/A;N/A;N/A;N/A;0.0;12-07-2023 12:24:58
bancosantander.es;23.39.108.165;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS20940;Akamai International B.V.;28047;Europe/Madrid;3.25;12-07-2023 12:24:58
bancsabadell.com;96.16.88.147;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS20940;Akamai International B.V.;28047;Europe/Madrid;3.22;12-07-2023 12:24:59
bandcamp.com;151.101.130.132;OK;2;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS54113;Fastly, Inc.;94107;America/Los_Angeles;3.01;12-07-2023 12:24:59
bankia.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:59
bankinter.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:59
bankoa.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:59
bankofbeijing.com.cn;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:59
bantierra.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:24:59
barclays.co.uk;104.83.182.122;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS16625;Akamai Technologies, Inc.;28047;Europe/Madrid;2.71;12-07-2023 12:25:00
bbva.es;23.39.77.202;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS16625;Akamai Technologies, Inc.;28047;Europe/Madrid;3.01;12-07-2023 12:25:00
be.ceca.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:25:00
be2.es;93.104.242.20;OK;1;Thannhausen;Bavaria;DE;40.4133,-3.6939;48.2833,10.4692;AS8767;M-net Telekommunikations GmbH;86470;Europe/Berlin;34.7;12-07-2023 12:25:01
bebee.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:25:01
beinconnect.es;18.154.41.91;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28004;Europe/Madrid;3.59;12-07-2023 12:25:02
bemad.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 12:25:02
bet365.es;5.226.179.12;OK;2;Basford, Stoke-on-Trent;England;GB;40.4133,-3.6939;53.0163,-2.2123;AS209242;Cloudflare London, LLC;ST5;Europe/London;2.51;12-07-2023 12:25:03
