HOST;PUBLIC_IP;ESTADO;INTENTOS;TIEMPO (ms)
101domain.com;104.23.140.9;OK;1;2.93
20minutos.es;18.154.48.46;OK;1;3.24
2checkout.com;N/A;N/A;0;0.0
4shared.com;N/A;KO;3;0.0
500px.com;N/A;N/A;0;0.0
abacus.coop;104.16.63.20;OK;1;2.61
abanca.com;213.170.41.173;OK;1;13.9
abc.es;95.100.249.209;OK;1;2.83
abv.bg;N/A;KO;3;0.0
academia.edu;13.224.115.30;OK;1;3.23
accenture.com;N/A;N/A;0;0.0
accounts.google.com;172.217.17.13;OK;1;3.46
accuweather.com;104.83.200.193;OK;1;2.95
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;0.0
adoptauntio.es;N/A;N/A;0;0.0
agame.com;172.67.137.161;OK;1;22.4
agenciatributaria.es;N/A;N/A;0;0.0
airbnb.es;N/A;N/A;0;0.0
akamai.com;2.17.186.73;OK;1;49.6
akf.de;92.204.236.87;OK;1;31.9
aliexpress.com;47.254.177.101;OK;2;31.5
amazon.com;52.94.236.248;OK;2;82.6
amazon.es;54.239.33.90;OK;1;35.7
amena.com;N/A;N/A;0;0.0
amp.dev;75.2.60.5;OK;1;20.7
analytics.google.com;142.250.184.174;OK;1;2.70
android.com;142.250.200.68;OK;1;3.19
antena3.com;N/A;N/A;0;0.0
anuncios.es;N/A;N/A;0;0.0
anydesk.com;108.157.109.87;OK;1;2.74
aparat.com;N/A;N/A;0;0.0
appcenter.ms;N/A;N/A;0;0.0
apple.com;N/A;N/A;0;0.0
applovin.com;141.193.213.20;OK;1;3.56
appsflyer.com;N/A;N/A;0;0.0
arabbank.com;N/A;N/A;0;0.0
aresbank.es;N/A;N/A;0;0.0
arsys.com;N/A;KO;3;0.0
arsys.es;217.76.128.28;OK;1;3.93
arvixe.com;N/A;N/A;0;0.0
as.com;2.17.39.249;OK;1;2.58
ashleymadison.com;104.16.120.62;OK;1;3.26
asmallworld.com;N/A;N/A;0;0.0
asos.com;2.22.126.234;OK;1;2.80
atrapalo.com;N/A;N/A;0;0.0
n.sni.global.fastly.net;151.101.133.91;OK;1;2.87
atresplayer.com;N/A;N/A;0;0.0
authorize.net;162.159.152.2;OK;1;2.70
avast.com;104.83.33.34;OK;1;3.54
avg.com;185.189.92.41;OK;1;45.8
dr49lng3n1n2s.cloudfront.net;18.67.238.67;OK;1;2.67
badoo.com;N/A;N/A;0;0.0
baidu.com;39.156.66.10;OK;1;359
bancofar.es;N/A;N/A;0;0.0
bancopichincha.es;N/A;N/A;0;0.0
bancopopular.es;45.60.104.180;OK;1;175
bancosantander.es;104.126.251.57;OK;1;23.7
bancsabadell.com;45.148.222.10;OK;1;5.27
bandcamp.com;151.101.129.28;OK;1;2.64
bankia.es;N/A;N/A;0;0.0
bankinter.com;N/A;N/A;0;0.0
bankoa.es;N/A;N/A;0;0.0
bankofbeijing.com.cn;N/A;N/A;0;0.0
