host;public_ip;status;attempts;city;region;country;location;organization;postal;timezone;latency (ms);date
arabbank.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:15
aresbank.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:15
arsys.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:15
arsys.es;217.76.128.28;OK;1;Logroño;La Rioja;ES;42.4667,-2.4500;AS8560 IONOS SE;26004;Europe/Madrid;3.42;20-03-2023 15:05:16
arvixe.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:16
as.com;184.28.177.24;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28009;Europe/Madrid;3.24;20-03-2023 15:05:16
ashleymadison.com;104.16.120.62;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.83;20-03-2023 15:05:17
asmallworld.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:17
asos.com;96.16.248.12;OK;1;Paris;Île-de-France;FR;48.8534,2.3488;AS20940 Akamai International B.V.;75000;Europe/Paris;24.1;20-03-2023 15:05:17
atrapalo.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:17
n.sni.global.fastly.net;151.101.133.91;OK;2;Madrid;Madrid;ES;40.4165,-3.7026;AS54113 Fastly, Inc.;28001;Europe/Madrid;2.93;20-03-2023 15:05:18
atresplayer.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:18
authorize.net;162.159.152.2;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.39;20-03-2023 15:05:18
avast.com;23.73.170.177;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28009;Europe/Madrid;2.88;20-03-2023 15:05:19
avg.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:19
dr49lng3n1n2s.cloudfront.net;18.67.238.68;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.56;20-03-2023 15:05:20
badoo.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:20
baidu.com;110.242.68.66;OK;2;Shijiazhuang;Hebei;CN;38.0414,114.4786;AS4837 CHINA UNICOM China169 Backbone;0;Asia/Shanghai;178;20-03-2023 15:05:21
bancofar.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:21
bancopichincha.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:21
bancopopular.es;45.60.32.180;OK;1;Redwood City;California;US;37.5331,-122.2486;AS19551 Incapsula Inc;94065;America/Los_Angeles;95.3;20-03-2023 15:05:21
bancosantander.es;184.24.172.177;OK;1;Frankfurt am Main;Hesse;DE;50.1155,8.6842;AS16625 Akamai Technologies, Inc.;60306;Europe/Berlin;29.4;20-03-2023 15:05:22
bancsabadell.com;45.148.222.10;OK;2;Sabadell;Catalonia;ES;41.5433,2.1094;AS60813 Banco Sabadell;8200;Europe/Madrid;4.46;20-03-2023 15:05:22
bandcamp.com;151.101.66.132;OK;1;San Francisco;California;US;37.7621,-122.3971;AS54113 Fastly, Inc.;94107;America/Los_Angeles;2.84;20-03-2023 15:05:23
bankia.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:23
bankinter.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:23
bankoa.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:23
bankofbeijing.com.cn;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:23
bantierra.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:23
barclays.co.uk;23.0.119.47;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28009;Europe/Madrid;2.81;20-03-2023 15:05:23
bbva.es;23.74.95.207;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28009;Europe/Madrid;2.48;20-03-2023 15:05:24
be.ceca.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:24
be2.es;93.104.242.20;OK;1;Munich;Bavaria;DE;48.1374,11.5755;AS8767 M-net Telekommunikations GmbH;80331;Europe/Berlin;35.0;20-03-2023 15:05:24
bebee.com;62.97.142.16;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS9165 PROSODIE IBERICA SL;28001;Europe/Madrid;3.85;20-03-2023 15:05:24
beinconnect.es;18.154.41.127;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.85;20-03-2023 15:05:25
bemad.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:25
bet365.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:26
bing.com;204.79.197.200;OK;1;Redmond;Washington;US;47.6740,-122.1215;AS8068 Microsoft Corporation;98052;America/Los_Angeles;3.79;20-03-2023 15:05:26
blogger.com;142.250.200.105;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;3.53;20-03-2023 15:05:26
blogs.route53.opera.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:27
Blogspot.com;142.250.184.169;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;4.09;20-03-2023 15:05:28
bluehost.com;104.18.28.109;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;4.00;20-03-2023 15:05:28
