host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
500px.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:27
2checkout.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:27
20minutos.es;108.157.109.77;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28004;Europe/Madrid;3.26;12-07-2023 10:35:27
abc.es;96.16.88.149;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS20940;Akamai International B.V.;28047;Europe/Madrid;2.59;12-07-2023 10:35:27
101domain.com;104.23.140.9;OK;1;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.24;12-07-2023 10:35:27
abacus.coop;104.16.63.20;OK;1;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.69;12-07-2023 10:35:27
accenture.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:27
abanca.com;213.170.41.173;OK;2;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16203;NCG Banco;28004;Europe/Madrid;15.6;12-07-2023 10:35:27
accounts.google.com;142.250.200.77;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS15169;Google LLC;28004;Europe/Madrid;4.76;12-07-2023 10:35:28
accuweather.com;23.36.122.49;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.3948,-3.7463;AS16625;Akamai Technologies, Inc.;28047;Europe/Madrid;3.70;12-07-2023 10:35:28
4shared.com;204.155.146.95;OK;3;Irving;Texas;US;40.4133,-3.6939;32.8140,-96.9489;AS40824;Webzilla Inc.;75059;America/Chicago;126;12-07-2023 10:35:28
academia.edu;54.192.95.67;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28004;Europe/Madrid;3.77;12-07-2023 10:35:28
adoptauntio.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:28
agenciatributaria.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0,0.0;N/A;N/A;N/A;N/A;0.0;12-07-2023 10:35:28
airbnb.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:28
abv.bg;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:28
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:28
agame.com;104.21.78.214;OK;1;San Francisco;California;US;40.4133,-3.6939;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.57;12-07-2023 10:35:28
amena.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:28
akamai.com;23.217.184.207;OK;1;Paris;Île-de-France;FR;40.4133,-3.6939;48.8655,2.3426;AS20940;Akamai International B.V.;75108 CEDEX 02;Europe/Paris;32.1;12-07-2023 10:35:28
amazon.com;205.251.242.103;OK;1;Ashburn;Virginia;US;40.4133,-3.6939;39.0437,-77.4875;AS16509;Amazon.com, Inc.;20147;America/New_York;84.1;12-07-2023 10:35:28
aliexpress.com;N/A;KO;3;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:28
antena3.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:28
akf.de;92.204.236.87;OK;2;Strasbourg;Grand Est;FR;40.4133,-3.6939;48.5839,7.7455;AS8972;Host Europe GmbH;67004 CEDEX;Europe/Paris;33.1;12-07-2023 10:35:28
anuncios.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:28
aparat.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:29
appcenter.ms;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:29
apple.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:29
amazon.es;54.239.33.90;OK;1;Dublin;Leinster;IE;40.4133,-3.6939;53.3331,-6.2489;AS16509;Amazon.com, Inc.;D02;Europe/Dublin;35.2;12-07-2023 10:35:29
appsflyer.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:29
amp.dev;75.2.60.5;OK;1;Seattle;Washington;US;40.4133,-3.6939;47.5413,-122.3129;AS16509;Amazon.com, Inc.;98108;America/Los_Angeles;4.08;12-07-2023 10:35:29
aresbank.es;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:29
analytics.google.com;142.250.200.78;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS15169;Google LLC;28004;Europe/Madrid;4.02;12-07-2023 10:35:29
arabbank.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:29
arvixe.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:29
android.com;142.250.185.4;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS15169;Google LLC;28004;Europe/Madrid;3.13;12-07-2023 10:35:29
anydesk.com;108.157.109.87;OK;1;Madrid;Madrid;ES;40.4133,-3.6939;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28004;Europe/Madrid;3.48;12-07-2023 10:35:29
asmallworld.com;N/A;N/A;0;N/A;N/A;N/A;40.4133,-3.6939;0.0, 0.0;N/A;N/A;0;N/A;0.0;12-07-2023 10:35:29
applovin.com;141.193.213.20;OK;1;Austin;Texas;US;40.4133,-3.6939;30.2672,-97.7431;AS209242;Cloudflare London, LLC;78701;America/Chicago;3.81;12-07-2023 10:35:29
