host;public_ip;status;attempts;city;region;country;location;organization;postal;timezone;latency (ms);date
101domain.com;104.23.139.9;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.66;18-03-2023 23:55:04
20minutos.es;18.154.41.15;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.71;18-03-2023 23:55:05
2checkout.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:05
4shared.com;204.155.146.95;OK;3;Grapevine;Texas;US;32.9343,-97.0781;AS40824 WZ Communications Inc.;76051;America/Chicago;127;18-03-2023 23:55:06
500px.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:06
abacus.coop;104.16.63.20;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.53;18-03-2023 23:55:06
abanca.com;213.170.41.173;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16203 NCG Banco;28001;Europe/Madrid;15.2;18-03-2023 23:55:07
abc.es;2.23.159.105;OK;1;Marseille;Provence-Alpes-Côte d'Azur;FR;43.2970,5.3811;AS20940 Akamai International B.V.;13000;Europe/Paris;31.5;18-03-2023 23:55:07
abv.bg;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:08
academia.edu;54.192.95.5;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.75;18-03-2023 23:55:08
accenture.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:08
accounts.google.com;142.250.200.141;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;2.91;18-03-2023 23:55:09
accuweather.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:09
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:10
adoptauntio.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:10
agame.com;104.21.78.214;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.95;18-03-2023 23:55:10
agenciatributaria.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:10
airbnb.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:10
akamai.com;2.17.186.73;OK;1;Frankfurt am Main;Hesse;DE;50.1155,8.6842;AS16625 Akamai Technologies, Inc.;60306;Europe/Berlin;39.3;18-03-2023 23:55:11
akf.de;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:11
aliexpress.com;47.254.177.101;OK;3;Frankfurt am Main;Hesse;DE;50.1112,8.6831;AS45102 Alibaba (US) Technology Co., Ltd.;60311;Europe/Berlin;32.3;18-03-2023 23:55:12
amazon.com;54.239.28.85;OK;2;Ashburn;Virginia;US;39.0437,-77.4875;AS16509 Amazon.com, Inc.;20147;America/New_York;87.7;18-03-2023 23:55:13
amazon.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:13
amena.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:13
amp.dev;75.2.60.5;OK;1;Seattle;Washington;US;47.5413,-122.3129;AS16509 Amazon.com, Inc.;98108;America/Los_Angeles;3.15;18-03-2023 23:55:14
analytics-alv.google.com;216.239.36.181;OK;1;Mountain View;California;US;37.4056,-122.0775;AS15169 Google LLC;94043;America/Los_Angeles;3.79;18-03-2023 23:55:14
android.com;142.250.200.68;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;2.73;18-03-2023 23:55:15
antena3.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:15
anuncios.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:15
anydesk.com;108.157.109.87;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.82;18-03-2023 23:55:15
aparat.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:15
appcenter.ms;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:15
apple.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:15
applovin.com;141.193.213.20;OK;3;Austin;Texas;US;30.2672,-97.7431;AS209242 Cloudflare London, LLC;78701;America/Chicago;2.63;18-03-2023 23:55:16
appsflyer.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:16
arabbank.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:16
aresbank.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:16
arsys.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:17
arsys.es;217.76.128.28;OK;1;Logroño;La Rioja;ES;42.4667,-2.4500;AS8560 IONOS SE;26004;Europe/Madrid;3.76;18-03-2023 23:55:17
arvixe.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:17
as.com;104.90.205.162;OK;1;Barcelona;Catalonia;ES;41.3888,2.1590;AS20940 Akamai International B.V.;8038;Europe/Madrid;10.8;18-03-2023 23:55:18
ashleymadison.com;104.16.120.62;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.88;18-03-2023 23:55:18
asmallworld.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:18
asos.com;2.18.40.200;OK;1;Marseille;Provence-Alpes-Côte d'Azur;FR;43.2970,5.3811;AS20940 Akamai International B.V.;13000;Europe/Paris;33.4;18-03-2023 23:55:19
atrapalo.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:19
n.sni.global.fastly.net;151.101.133.91;OK;2;Madrid;Madrid;ES;40.4165,-3.7026;AS54113 Fastly, Inc.;28001;Europe/Madrid;3.07;18-03-2023 23:55:19
atresplayer.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:19
authorize.net;162.159.153.2;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.35;18-03-2023 23:55:20
avast.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:20
avg.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:21
dr49lng3n1n2s.cloudfront.net;18.67.238.68;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.45;18-03-2023 23:55:21
badoo.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:21
baidu.com;110.242.68.66;OK;3;Shijiazhuang;Hebei;CN;38.0414,114.4786;AS4837 CHINA UNICOM China169 Backbone;0;Asia/Shanghai;177;18-03-2023 23:55:22
bancofar.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;18-03-2023 23:55:22
