host;public_ip;status;attempts;city;region;country;location;organization;postal;timezone;latency (ms);date
101domain.com;104.23.140.9;OK;2;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.29;27-04-2023 18:24:05
20minutos.es;18.154.22.57;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.43;27-04-2023 18:24:06
2checkout.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:06
4shared.com;204.155.149.42;OK;3;Irving;Texas;US;32.8140,-96.9489;AS40824 WZ Communications Inc.;75059;America/Chicago;121;27-04-2023 18:24:07
500px.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:07
abacus.coop;104.16.62.20;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.08;27-04-2023 18:24:07
abanca.com;213.170.41.173;OK;3;Madrid;Madrid;ES;40.4165,-3.7026;AS16203 NCG Banco;28050;Europe/Madrid;15.4;27-04-2023 18:24:08
abc.es;96.16.88.182;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28001;Europe/Madrid;2.74;27-04-2023 18:24:08
abv.bg;194.153.145.104;OK;1;Sofia;Sofia-Capital;BG;42.6975,23.3241;AS13147 Net Info JSCo;1000;Europe/Sofia;52.5;27-04-2023 18:24:09
academia.edu;54.192.95.124;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.53;27-04-2023 18:24:09
accenture.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:09
accounts.google.com;216.58.215.141;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;3.36;27-04-2023 18:24:10
accuweather.com;2.16.78.41;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28001;Europe/Madrid;2.55;27-04-2023 18:24:10
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:11
adoptauntio.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:11
agame.com;172.67.137.161;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.76;27-04-2023 18:24:11
agenciatributaria.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:11
airbnb.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:11
akamai.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:12
akf.de;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:12
aliexpress.com;47.254.177.101;OK;3;Frankfurt am Main;Hesse;DE;50.1112,8.6831;AS45102 Alibaba (US) Technology Co., Ltd.;60311;Europe/Berlin;44.6;27-04-2023 18:24:13
amazon.com;52.94.236.248;OK;1;Ashburn;Virginia;US;39.0437,-77.4875;AS16509 Amazon.com, Inc.;20147;America/New_York;82.8;27-04-2023 18:24:14
amazon.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:14
amena.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:14
amp.dev;75.2.60.5;OK;1;Seattle;Washington;US;47.5413,-122.3129;AS16509 Amazon.com, Inc.;98108;America/Los_Angeles;2.74;27-04-2023 18:24:15
analytics.google.com;142.250.200.78;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;5.21;27-04-2023 18:24:15
android.com;142.250.200.68;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;2.76;27-04-2023 18:24:16
antena3.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:16
anuncios.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:16
anydesk.com;108.157.109.103;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.18;27-04-2023 18:24:16
aparat.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:16
appcenter.ms;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:16
apple.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:16
applovin.com;141.193.213.20;OK;2;Austin;Texas;US;30.2672,-97.7431;AS209242 Cloudflare London, LLC;78701;America/Chicago;2.71;27-04-2023 18:24:17
appsflyer.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:17
arabbank.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:17
aresbank.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:17
arsys.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:17
arsys.es;217.76.128.28;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS8560 IONOS SE;28001;Europe/Madrid;4.74;27-04-2023 18:24:18
arvixe.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;27-04-2023 18:24:18
as.com;2.21.37.29;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28001;Europe/Madrid;3.47;27-04-2023 18:24:18
