HOST;PUBLIC_IP;ESTADO;INTENTOS;TIEMPO (ms)
101domain.com;104.23.140.9;OK;1;3.16
20minutos.es;18.154.41.15;OK;1;3.00
2checkout.com;N/A;N/A;0;0.0
4shared.com;204.155.149.42;OK;1;131
500px.com;N/A;N/A;0;0.0
abacus.coop;104.16.63.20;OK;1;2.98
abanca.com;213.170.41.173;OK;1;14.8
abc.es;2.22.126.243;OK;1;2.49
abv.bg;194.153.145.104;OK;1;52.7
academia.edu;13.224.115.57;OK;1;3.11
accenture.com;N/A;N/A;0;0.0
accounts.google.com;142.250.200.109;OK;1;2.41
accuweather.com;72.247.20.59;OK;1;3.06
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;0.0
adoptauntio.es;N/A;N/A;0;0.0
agame.com;104.21.78.214;OK;1;3.00
agenciatributaria.es;N/A;N/A;0;0.0
airbnb.es;N/A;N/A;0;0.0
akamai.com;104.69.208.81;OK;1;32.2
akf.de;92.204.236.87;OK;1;33.5
aliexpress.com;47.254.177.101;OK;1;45.1
amazon.com;205.251.242.103;OK;1;87.1
amazon.es;52.95.120.38;OK;3;34.3
amena.com;N/A;N/A;0;0.0
amp.dev;75.2.60.5;OK;1;25.3
analytics.google.com;142.250.200.110;OK;1;3.46
android.com;142.250.184.4;OK;1;3.37
antena3.com;N/A;N/A;0;0.0
anuncios.es;N/A;N/A;0;0.0
anydesk.com;108.157.109.87;OK;1;3.26
aparat.com;N/A;N/A;0;0.0
appcenter.ms;N/A;N/A;0;0.0
apple.com;N/A;N/A;0;0.0
applovin.com;141.193.213.20;OK;1;10.4
appsflyer.com;N/A;N/A;0;0.0
arabbank.com;N/A;N/A;0;0.0
aresbank.es;N/A;N/A;0;0.0
arsys.com;N/A;KO;3;0.0
arsys.es;217.76.128.28;OK;1;3.05
arvixe.com;N/A;N/A;0;0.0
as.com;2.17.39.226;OK;1;2.97
ashleymadison.com;104.16.120.62;OK;1;2.97
asmallworld.com;N/A;N/A;0;0.0
asos.com;23.72.248.25;OK;1;24.0
atrapalo.com;N/A;N/A;0;0.0
n.sni.global.fastly.net;151.101.133.91;OK;1;3.29
atresplayer.com;N/A;N/A;0;0.0
authorize.net;162.159.152.2;OK;1;3.42
avast.com;104.83.33.34;OK;1;2.90
avg.com;69.94.64.29;OK;1;45.4
dr49lng3n1n2s.cloudfront.net;18.67.238.67;OK;1;3.52
badoo.com;N/A;N/A;0;0.0
baidu.com;39.156.66.10;OK;1;362
bancofar.es;N/A;N/A;0;0.0
bancopichincha.es;N/A;N/A;0;0.0
bancopopular.es;45.60.104.180;OK;1;174
bancosantander.es;104.126.251.57;OK;1;24.6
bancsabadell.com;45.148.222.10;OK;1;5.18
bandcamp.com;151.101.193.28;OK;1;3.18
bankia.es;N/A;N/A;0;0.0
bankinter.com;N/A;N/A;0;0.0
bankoa.es;N/A;N/A;0;0.0
bankofbeijing.com.cn;N/A;N/A;0;0.0
bantierra.es;N/A;N/A;0;0.0
barclays.co.uk;2.19.158.125;OK;1;25.4
bbva.es;104.83.45.129;OK;1;3.14
be.ceca.es;N/A;N/A;0;0.0
be2.es;93.104.242.20;OK;1;34.8
bebee.com;62.97.142.16;OK;1;4.69
beinconnect.es;18.154.41.91;OK;1;3.49
bemad.es;N/A;N/A;0;0.0
bet365.es;5.226.179.12;OK;1;3.61
bing.com;204.79.197.200;OK;1;4.05
blogger.com;142.250.184.169;OK;1;2.99
blogs.route53.opera.com;N/A;KO;3;0.0
Blogspot.com;142.250.200.73;OK;1;3.95
bluehost.com;104.18.29.109;OK;1;3.06
bmcebank.ma;212.217.29.195;OK;1;26.8
bmce-intl.com;N/A;N/A;0;0.0
bnl.it;N/A;N/A;0;0.0
bnpparibas.es;23.216.121.126;OK;1;3.01
boing.es;N/A;N/A;0;0.0
booking.com;N/A;N/A;0;0.0
burguerkingencasa.es;N/A;KO;3;0.0
buysellads.com;N/A;N/A;0;0.0
buzznet.com;34.204.131.44;OK;1;82.7
cadena100.es;N/A;N/A;0;0.0
cadenadial.com;N/A;N/A;0;0.0
cadenaser.com;2.17.39.225;OK;1;3.10
caixabank.com;N/A;N/A;0;0.0
caixabank.es;N/A;N/A;0;0.0
callstats.io;104.22.65.205;OK;1;3.81
canalextremadura.es;N/A;N/A;0;0.0
canalsur.es;N/A;N/A;0;0.0
carbonads.net;N/A;N/A;0;0.0
care2.com;N/A;N/A;0;0.0
caringbridge.org;108.157.109.47;OK;1;2.85
casadellibro.com;N/A;N/A;0;0.0
casalemedia.com;N/A;N/A;0;0.0
cashconverters.es;108.157.98.56;OK;1;4.02
cashparking.com;N/A;N/A;0;0.0
ccma.cat;N/A;N/A;0;0.0
c-date.es;93.104.242.20;OK;1;34.5
cdkeys.com;172.67.69.86;OK;1;3.05
cecabank.es;N/A;N/A;0;0.0
cherryroad.com;209.61.196.13;OK;2;166
chinafm.es;217.13.94.225;OK;1;13.1
cinesa.es;104.18.36.244;OK;1;2.82
clarin.com;N/A;N/A;0;0.0
classmates.com;172.64.148.219;OK;1;2.96
cliver.tv;34.160.73.230;OK;1;20.5
cloob.com;N/A;N/A;0;0.0
cnnespanol.go-vip.net;192.0.66.142;OK;1;4.18
coches.net;13.224.115.127;OK;1;2.93
comercios.ceca.es;N/A;N/A;0;0.0
comlaude.com;N/A;N/A;0;0.0
constantcontact.com;208.75.122.14;OK;1;106
cootlogix.com;N/A;KO;3;0.0
cope.es;N/A;N/A;0;0.0
couchsurfing.com;N/A;N/A;0;0.0
crashlytics.com;N/A;N/A;0;0.0
criteo.com;18.65.39.110;OK;1;36.0
crtvg.es;N/A;N/A;0;0.0
cuatro.com;N/A;N/A;0;0.0
dailymotion.com;195.8.215.136;OK;1;22.3
db.com;N/A;N/A;0;0.0
e100011.dscb.akamaiedge.net;2.22.245.153;OK;1;2.90
deezer.com;N/A;N/A;0;0.0
icio.us;107.181.87.5;OK;1;156
deliveroo.es;104.18.26.160;OK;1;3.10
delivery.karmabu.cdn.orange.com;90.84.143.145;OK;1;2.67
deloitte.com;170.194.156.208;OK;1;107
deviantart.com;108.157.98.69;OK;1;3.42
diasp.org;170.39.215.215;OK;1;142
disneyplus.com;N/A;N/A;0;0.0
divinity.es;N/A;N/A;0;0.0
divxtotal.com;104.21.45.235;OK;1;24.8
divxtotal3.net;N/A;N/A;0;0.0
dixmax.com;188.114.96.5;OK;1;16.9
dl.cube.lodz.karma.orange.com;N/A;N/A;0;0.0
dominospizza.es;194.224.110.10;OK;1;3.41
part-0015.t-0009.fdv2-t-msedge.net;13.107.238.43;OK;1;2.81
doubleclick.com;142.250.200.78;OK;1;3.14
doubleclick.net;142.250.200.78;OK;1;3.53
dribbble.com;192.229.220.206;OK;1;2.47
dropbox.com;162.125.248.18;OK;1;3.38
ds-hostingsolutions.net;149.210.229.22;OK;1;33.1
dwolla.com;104.18.126.12;OK;1;2.42
ebay.com;N/A;N/A;0;0.0
ebay.es;N/A;N/A;0;0.0
ebnbanco.com;N/A;N/A;0;0.0
edarling.es;104.18.30.109;OK;1;3.53
edreams.es;35.246.196.126;OK;1;30.3
ehu.eus;158.227.0.65;OK;1;14.3
eitb.eus;151.101.194.133;OK;1;3.10
elcomercio.pe;95.100.252.16;OK;1;27.8
elconfidencial.com;107.154.106.101;OK;1;95.1
elcorteingles.es;N/A;N/A;0;0.0
eldiario.es;176.34.179.218;OK;1;44.1
eleconomista.es;N/A;N/A;0;0.0
elespanol.com;54.192.95.107;OK;1;3.04
elespectador.com;2.16.8.171;OK;1;3.29
elitetorrent.biz;50.28.56.190;OK;1;102
elmundo.es;N/A;N/A;0;0.0
elpais.com;2.17.39.59;OK;1;2.59
elperiodico.com;195.76.147.109;OK;1;4.62
eltenedor.es;151.101.194.133;OK;1;2.63
eltiempo.com;45.60.131.135;OK;1;181
eltiempo.es;N/A;N/A;0;0.0
mail.qq.com;N/A;KO;3;0.0
energytv.es;N/A;N/A;0;0.0
enom.com;199.16.172.29;OK;1;3.29
entradas.com;104.83.66.143;OK;1;3.09
epicgames.com;N/A;N/A;0;0.0
e11956.x.akamaiedge.net;104.83.81.185;OK;1;2.61
j.sni.global.fastly.net;151.101.134.132;OK;1;3.21
es.hboespana.com;N/A;N/A;0;0.0
s3-website.us-east-1.amazonaws.com;54.231.172.221;OK;1;82.6
f2.shared.global.fastly.net;151.101.134.2;OK;1;2.95
pop-ltx1-lx.mix.linkedin.com;144.2.15.25;OK;1;129
ds-geoycpi-uno-lite.gycpi.b.yahoodns.net;87.248.100.136;OK;1;38.6
cs431.wpc.chicdn.net;68.232.34.226;OK;1;2.99
d291e33ne127py.cloudfront.net;18.154.41.123;OK;1;2.82
es.sitew.com;178.33.149.84;OK;1;22.1
scribd.map.fastly.net;151.101.134.152;OK;1;3.13
www.wallapop.com;18.154.22.93;OK;1;2.90
es.webs.com;104.17.119.40;OK;1;3.08
td-balancer-euw2-6-109.wixdns.net;35.246.6.109;OK;1;27.7
lb.wordpress.com;192.0.78.13;OK;1;4.39
es.worldline.com;N/A;N/A;0;0.0
fp-ycpi.g03.yahoodns.net;188.125.95.240;OK;1;3.66
esdemarca.com;35.186.206.21;OK;1;3.40
eset.com;91.228.167.128;OK;1;39.5
esnoticia.net;104.21.36.33;OK;1;23.0
europafm.com;N/A;N/A;0;0.0
eurosport.es;N/A;N/A;0;0.0
everis.com;N/A;N/A;0;0.0
evobanco.com;45.60.124.20;OK;1;3.32
expansion.com;N/A;N/A;0;0.0
expedia.es;23.72.151.184;OK;1;24.9
ey.com;N/A;N/A;0;0.0
eyeem.com;18.154.22.22;OK;1;3.44
facebook.com;157.240.21.35;OK;1;22.3
factoriadeficcion.com;N/A;N/A;0;0.0
factoriadigital.com;213.162.197.201;OK;1;7.80
fastly.net;151.101.1.6;OK;1;3.50
fedex.com;N/A;N/A;0;0.0
feverup.com;N/A;N/A;0;0.0
fiba.basketball;N/A;N/A;0;0.0
filmaffinity.com;82.98.137.22;OK;1;3.77
filmin.es;104.18.18.203;OK;1;3.08
fireeye.com;162.159.246.125;OK;1;22.6
fishbowl.com;N/A;N/A;0;0.0
flickr.com;13.224.112.232;OK;1;6.62
flixster.com;N/A;N/A;0;0.0
fnac.es;N/A;N/A;0;0.0
forocoches.com;104.22.3.210;OK;1;2.78
fotki.com;185.12.236.31;OK;1;72.8
fotocasa.es;N/A;N/A;0;0.0
redirect.lb.ccmbg.net;N/A;KO;3;0.0
freeddns.noip.com;N/A;N/A;0;0.0
freedompop.com;N/A;N/A;0;0.0
fuegodevida.com;164.132.73.177;OK;1;21.8
funnyordie.com;192.0.78.199;OK;1;3.59
g2a.com;104.22.62.240;OK;1;19.2
gaiaonline.com;N/A;N/A;0;0.0
game.es;N/A;N/A;0;0.0
gamovideo.com;104.21.81.147;OK;1;2.79
geni.com;107.154.108.111;OK;1;95.4
ginos.es;N/A;N/A;0;0.0
global.abb;151.101.131.10;OK;1;2.85
gmail.com;142.250.200.101;OK;1;3.10
gmx.com;82.165.229.87;OK;1;34.3
gnula.nu;N/A;N/A;0;0.0
gnula.se;N/A;N/A;0;0.0
d4m276jz6gztw.cloudfront.net;108.157.109.80;OK;1;2.64
goal.com;N/A;N/A;0;0.0
goltelevision.com;N/A;N/A;0;0.0
goodreads.com;52.94.226.87;OK;1;82.1
google.com;142.250.200.110;OK;1;3.47
google.es;142.250.201.67;OK;1;3.06
googleadservices.com;172.217.168.162;OK;1;2.99
google-public-dns-a.google.com;8.8.8.8;OK;1;3.15
habbo.es;N/A;N/A;0;0.0
halifax.co.uk;N/A;N/A;0;0.0
hbbtv.org;N/A;N/A;0;0.0
hi5.com;135.84.35.167;OK;1;147
hitfm.es;N/A;N/A;0;0.0
