HOST;PUBLIC_IP;ESTADO;INTENTOS;TIEMPO (ms)
101domain.com;104.23.140.9;OK;1;2.99
20minutos.es;18.154.41.15;OK;1;3.63
2checkout.com;N/A;N/A;0;0.0
4shared.com;204.155.146.95;OK;2;131
500px.com;N/A;N/A;0;0.0
abacus.coop;104.16.62.20;OK;1;2.66
abanca.com;213.170.41.173;OK;1;13.5
abc.es;95.100.249.209;OK;1;2.71
abv.bg;194.153.145.104;OK;2;52.2
academia.edu;13.224.115.30;OK;1;2.76
accenture.com;N/A;N/A;0;0.0
accounts.google.com;172.217.168.173;OK;1;3.40
accuweather.com;72.247.20.59;OK;1;3.59
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;0.0
adoptauntio.es;N/A;N/A;0;0.0
agame.com;172.67.137.161;OK;1;23.0
agenciatributaria.es;N/A;N/A;0;0.0
airbnb.es;N/A;N/A;0;0.0
akamai.com;23.10.65.148;OK;1;3.28
akf.de;92.204.236.87;OK;1;32.7
aliexpress.com;47.254.177.101;OK;1;31.3
amazon.com;54.239.28.85;OK;1;82.3
amazon.es;54.239.33.90;OK;1;36.1
amena.com;N/A;N/A;0;0.0
amp.dev;75.2.60.5;OK;1;20.4
analytics-alv.google.com;216.239.32.181;OK;1;2.86
android.com;142.250.200.68;OK;1;3.64
antena3.com;N/A;N/A;0;0.0
anuncios.es;N/A;N/A;0;0.0
anydesk.com;108.157.109.11;OK;1;2.96
aparat.com;N/A;N/A;0;0.0
appcenter.ms;N/A;N/A;0;0.0
apple.com;N/A;N/A;0;0.0
applovin.com;141.193.213.20;OK;1;3.14
appsflyer.com;N/A;N/A;0;0.0
arabbank.com;N/A;N/A;0;0.0
aresbank.es;N/A;N/A;0;0.0
arsys.com;N/A;KO;3;0.0
arsys.es;217.76.128.28;OK;1;3.15
arvixe.com;N/A;N/A;0;0.0
as.com;2.22.62.82;OK;1;2.57
ashleymadison.com;104.16.119.62;OK;1;3.05
asmallworld.com;N/A;N/A;0;0.0
asos.com;88.221.53.122;OK;1;2.48
atrapalo.com;N/A;N/A;0;0.0
n.sni.global.fastly.net;151.101.133.91;OK;1;3.85
atresplayer.com;N/A;N/A;0;0.0
authorize.net;162.159.152.2;OK;1;3.26
avast.com;104.83.33.34;OK;1;3.15
avg.com;185.189.92.41;OK;1;46.1
dr49lng3n1n2s.cloudfront.net;18.67.238.67;OK;1;3.50
badoo.com;N/A;N/A;0;0.0
baidu.com;110.242.68.66;OK;1;186
bancofar.es;N/A;N/A;0;0.0
