host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
500px.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;08-05-2023 22:07:05
2checkout.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;08-05-2023 22:07:05
20minutos.es;18.154.41.15;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.39;08-05-2023 22:07:06
abacus.coop;104.16.63.20;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.46;08-05-2023 22:07:06
101domain.com;104.23.140.9;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.53;08-05-2023 22:07:06
accenture.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;08-05-2023 22:07:06
abc.es;96.16.88.182;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS20940;Akamai International B.V.;28025;Europe/Madrid;2.37;08-05-2023 22:07:06
4shared.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;08-05-2023 22:07:06
abanca.com;213.170.41.173;OK;2;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16203;NCG Banco;28050;Europe/Madrid;18.2;08-05-2023 22:07:06
adoptauntio.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;08-05-2023 22:07:06
accounts.google.com;142.250.178.173;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;3.15;08-05-2023 22:07:06
agenciatributaria.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;08-05-2023 22:07:06
airbnb.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;08-05-2023 22:07:06
academia.edu;54.192.95.5;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.77;08-05-2023 22:07:06
abv.bg;194.153.145.104;OK;1;Sofia;Sofia-Capital;BG;40.4353,-3.6495;42.6975,23.3241;AS13147;Net Info JSCo;1000;Europe/Sofia;52.9;08-05-2023 22:07:06
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;08-05-2023 22:07:07
