host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
aliexpress.com;47.254.177.101;OK;3;Frankfurt am Main;Hesse;DE;40.4353,-3.6495;50.1112,8.6831;AS45102;Alibaba (US) Technology Co., Ltd.;60311;Europe/Berlin;31.8;09-05-2023 15:47:00
analytics.google.com;142.250.200.110;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;3.08;09-05-2023 15:47:00
aresbank.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:00
android.com;142.250.200.132;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;2.73;09-05-2023 15:47:00
arvixe.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:00
arabbank.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:00
anydesk.com;108.157.109.103;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;2.88;09-05-2023 15:47:00
asmallworld.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:00
arsys.es;217.76.128.28;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS8560;IONOS SE;28001;Europe/Madrid;3.79;09-05-2023 15:47:01
atrapalo.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:01
as.com;84.53.133.75;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS20940;Akamai International B.V.;28001;Europe/Madrid;3.16;09-05-2023 15:47:01
atresplayer.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:01
arsys.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:01
ashleymadison.com;104.16.119.62;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.51;09-05-2023 15:47:01
asos.com;23.200.66.162;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS20940;Akamai International B.V.;28001;Europe/Madrid;2.93;09-05-2023 15:47:01
applovin.com;141.193.213.20;OK;3;Austin;Texas;US;40.4353,-3.6495;30.2672,-97.7431;AS209242;Cloudflare London, LLC;78701;America/Chicago;2.66;09-05-2023 15:47:01
badoo.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:01
authorize.net;162.159.152.2;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.83;09-05-2023 15:47:01
bancofar.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:01
bancopichincha.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:01
avast.com;95.100.116.198;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16625;Akamai Technologies, Inc.;28001;Europe/Madrid;3.44;09-05-2023 15:47:01
n.sni.global.fastly.net;151.101.133.91;OK;2;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS54113;Fastly, Inc.;28001;Europe/Madrid;2.37;09-05-2023 15:47:01
dr49lng3n1n2s.cloudfront.net;18.67.238.68;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;2.95;09-05-2023 15:47:01
baidu.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
bankia.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
bankinter.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
bankoa.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
bancosantander.es;72.246.146.39;OK;1;London;England;GB;40.4353,-3.6495;51.5085,-0.1257;AS16625;Akamai Technologies, Inc.;EC1A;Europe/London;28.7;09-05-2023 15:47:02
bantierra.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
bancsabadell.com;45.148.222.10;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS60813;Banco Sabadell;28001;Europe/Madrid;4.35;09-05-2023 15:47:02
avg.com;69.94.64.29;OK;3;Prague;Hlavní město Praha;CZ;40.4353,-3.6495;50.0880,14.4208;AS198605;AVAST Software s.r.o.;110 00;Europe/Prague;50.5;09-05-2023 15:47:02
be.ceca.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
bankofbeijing.com.cn;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
bandcamp.com;151.101.194.132;OK;2;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS54113;Fastly, Inc.;94107;America/Los_Angeles;3.31;09-05-2023 15:47:02
bancopopular.es;45.60.32.180;OK;3;Redwood City;California;US;40.4353,-3.6495;37.5331,-122.2486;AS19551;Incapsula Inc;94065;America/Los_Angeles;105;09-05-2023 15:47:02
bemad.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
bbva.es;95.100.116.91;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16625;Akamai Technologies, Inc.;28001;Europe/Madrid;4.05;09-05-2023 15:47:02
be2.es;93.104.242.20;OK;1;Thannhausen;Bavaria;DE;40.4353,-3.6495;48.2833,10.4692;AS8767;M-net Telekommunikations GmbH;86470;Europe/Berlin;35.1;09-05-2023 15:47:02
beinconnect.es;18.154.41.91;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.22;09-05-2023 15:47:02
bebee.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:02
barclays.co.uk;23.219.20.124;OK;2;New York City;New York;US;40.4353,-3.6495;40.7143,-74.0060;AS16625;Akamai Technologies, Inc.;10004;America/New_York;101;09-05-2023 15:47:03
bing.com;204.79.197.200;OK;1;Redmond;Washington;US;40.4353,-3.6495;47.6740,-122.1215;AS8068;Microsoft Corporation;98052;America/Los_Angeles;3.53;09-05-2023 15:47:03
blogger.com;142.250.184.9;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;3.38;09-05-2023 15:47:03
bet365.es;5.226.179.12;OK;2;Basford, Stoke-on-Trent;England;GB;40.4353,-3.6495;53.0163,-2.2123;AS209242;Cloudflare London, LLC;ST5;Europe/London;3.15;09-05-2023 15:47:03
bmce-intl.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
bnl.it;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
boing.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
