host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
2checkout.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:26
500px.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:26
101domain.com;104.23.140.9;OK;1;San Francisco;California;US;40.4165,-3.7026;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.09;24-05-2023 22:22:26
abacus.coop;104.16.63.20;OK;1;San Francisco;California;US;40.4165,-3.7026;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.55;24-05-2023 22:22:27
20minutos.es;108.157.109.63;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;2.99;24-05-2023 22:22:27
accenture.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:27
abc.es;23.200.66.142;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS20940;Akamai International B.V.;28005;Europe/Madrid;2.92;24-05-2023 22:22:27
4shared.com;204.155.146.95;OK;1;Irving;Texas;US;40.4165,-3.7026;32.8140,-96.9489;AS40824;Webzilla Inc.;75059;America/Chicago;121;24-05-2023 22:22:27
abanca.com;213.170.41.173;OK;2;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16203;NCG Banco;28001;Europe/Madrid;15.9;24-05-2023 22:22:27
adoptauntio.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:27
accounts.google.com;142.250.200.141;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;2.97;24-05-2023 22:22:27
agenciatributaria.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:27
airbnb.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:27
academia.edu;54.192.95.124;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.32;24-05-2023 22:22:27
abv.bg;194.153.145.104;OK;1;Sofia;Sofia-Capital;BG;40.4165,-3.7026;42.6975,23.3241;AS13147;Net Info JSCo;1000;Europe/Sofia;52.3;24-05-2023 22:22:27
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:27
agame.com;104.21.78.214;OK;1;San Francisco;California;US;40.4165,-3.7026;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.46;24-05-2023 22:22:27
accuweather.com;23.194.113.34;OK;2;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16625;Akamai Technologies, Inc.;28005;Europe/Madrid;2.52;24-05-2023 22:22:27
amena.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:27
akf.de;92.204.236.87;OK;1;Strasbourg;Grand Est;FR;40.4165,-3.7026;48.5839,7.7455;AS8972;Host Europe GmbH;67015 CEDEX;Europe/Paris;27.2;24-05-2023 22:22:28
aliexpress.com;N/A;KO;3;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:28
amp.dev;75.2.60.5;OK;1;Seattle;Washington;US;40.4165,-3.7026;47.5413,-122.3129;AS16509;Amazon.com, Inc.;98108;America/Los_Angeles;2.50;24-05-2023 22:22:28
antena3.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:28
anuncios.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:28
amazon.com;205.251.242.103;OK;1;Ashburn;Virginia;US;40.4165,-3.7026;39.0437,-77.4875;AS16509;Amazon.com, Inc.;20147;America/New_York;87.7;24-05-2023 22:22:28
aparat.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:28
appcenter.ms;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:28
akamai.com;23.72.208.108;OK;2;Paris;Île-de-France;FR;40.4165,-3.7026;48.8473,2.3682;AS16625;Akamai Technologies, Inc.;75012;Europe/Paris;22.9;24-05-2023 22:22:28
apple.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:28
appsflyer.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:28
analytics.google.com;142.250.201.78;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;3.36;24-05-2023 22:22:28
aresbank.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:28
arabbank.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:29
android.com;142.250.185.4;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;3.07;24-05-2023 22:22:29
arvixe.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:29
amazon.es;52.95.120.38;OK;3;Dublin;Leinster;IE;40.4165,-3.7026;53.3419,-6.2790;AS16509;Amazon.com, Inc.;D16;Europe/Dublin;36.7;24-05-2023 22:22:29
anydesk.com;108.157.109.103;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.98;24-05-2023 22:22:29
asmallworld.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:29
applovin.com;141.193.213.20;OK;1;Austin;Texas;US;40.4165,-3.7026;30.2672,-97.7431;AS209242;Cloudflare London, LLC;78701;America/Chicago;3.27;24-05-2023 22:22:29
atrapalo.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:29
arsys.es;217.76.128.28;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS8560;IONOS SE;28001;Europe/Madrid;3.33;24-05-2023 22:22:29
atresplayer.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:29
arsys.com;N/A;KO;3;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:29
ashleymadison.com;104.16.120.62;OK;1;San Francisco;California;US;40.4165,-3.7026;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.12;24-05-2023 22:22:29
as.com;84.53.133.75;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS20940;Akamai International B.V.;28005;Europe/Madrid;2.97;24-05-2023 22:22:29
asos.com;23.200.66.156;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS20940;Akamai International B.V.;28005;Europe/Madrid;3.03;24-05-2023 22:22:30
badoo.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:30
n.sni.global.fastly.net;151.101.133.91;OK;2;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS54113;Fastly, Inc.;28001;Europe/Madrid;2.80;24-05-2023 22:22:30
bancofar.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:30
bancopichincha.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:30
bancopopular.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0,0.0;N/A;N/A;N/A;N/A;0.0;24-05-2023 22:22:30
avast.com;23.39.78.61;OK;2;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16625;Akamai Technologies, Inc.;28005;Europe/Madrid;2.47;24-05-2023 22:22:30
baidu.com;N/A;KO;3;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:30
dr49lng3n1n2s.cloudfront.net;18.67.238.68;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.68;24-05-2023 22:22:30
bankia.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:30
authorize.net;162.159.152.2;OK;2;San Francisco;California;US;40.4165,-3.7026;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.89;24-05-2023 22:22:30
bankinter.com;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:30
bankoa.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:30
bantierra.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:30
avg.com;69.94.64.29;OK;1;Prague;Hlavní město Praha;CZ;40.4165,-3.7026;50.0880,14.4208;AS198605;AVAST Software s.r.o.;110 00;Europe/Prague;50.6;24-05-2023 22:22:30
bankofbeijing.com.cn;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:31
be.ceca.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:31
bbva.es;23.39.77.202;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16625;Akamai Technologies, Inc.;28005;Europe/Madrid;2.52;24-05-2023 22:22:31
bancosantander.es;104.126.254.227;OK;2;Paris;Île-de-France;FR;40.4165,-3.7026;48.8473,2.3682;AS16625;Akamai Technologies, Inc.;75012;Europe/Paris;22.7;24-05-2023 22:22:31
barclays.co.uk;184.85.198.208;OK;2;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16625;Akamai Technologies, Inc.;28005;Europe/Madrid;2.57;24-05-2023 22:22:31
bemad.es;N/A;N/A;0;N/A;N/A;N/A;40.4165,-3.7026;0.0, 0.0;N/A;N/A;0;N/A;0.0;24-05-2023 22:22:31
bandcamp.com;151.101.130.132;OK;2;San Francisco;California;US;40.4165,-3.7026;37.7621,-122.3971;AS54113;Fastly, Inc.;94107;America/Los_Angeles;2.68;24-05-2023 22:22:31
bancsabadell.com;45.148.222.10;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS60813;Banco Sabadell;28001;Europe/Madrid;5.15;24-05-2023 22:22:31
be2.es;93.104.242.20;OK;1;Thannhausen;Bavaria;DE;40.4165,-3.7026;48.2833,10.4692;AS8767;M-net Telekommunikations GmbH;86470;Europe/Berlin;34.8;24-05-2023 22:22:32
beinconnect.es;18.154.41.27;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;2.99;24-05-2023 22:22:32
bing.com;13.107.21.200;OK;1;Redmond;Washington;US;40.4165,-3.7026;47.6740,-122.1215;AS8068;Microsoft Corporation;98052;America/Los_Angeles;2.73;24-05-2023 22:22:32
bet365.es;5.226.179.12;OK;2;Basford, Stoke-on-Trent;England;GB;40.4165,-3.7026;53.0163,-2.2123;AS209242;Cloudflare London, LLC;ST5;Europe/London;2.74;24-05-2023 22:22:32
